County,Date,HappinessIndex
Henry,2022-01-31,0.7496714153011232
Henry,2022-02-28,0.6861735698828815
Henry,2022-03-31,0.7647688538100692
Henry,2022-04-30,0.8523029856408025
Henry,2022-05-31,0.6765846625276664
Henry,2022-06-30,0.6765863043050819
Henry,2022-07-31,0.8579212815507391
Henry,2022-08-31,0.7767434729152909
Henry,2022-09-30,0.6530525614065047
Henry,2022-10-31,0.7542560043585964
Henry,2022-11-30,0.6536582307187537
Henry,2022-12-31,0.6534270246429743
Henry,2023-01-31,0.7241962271566034
Henry,2023-02-28,0.5086719755342202
Henry,2023-03-31,0.5275082167486966
Henry,2023-04-30,0.6437712470759027
Henry,2023-05-31,0.5987168879665575
Henry,2023-06-30,0.7314247332595274
Henry,2023-07-31,0.6091975924478789
Henry,2023-08-31,0.5587696298664708
Henry,2023-09-30,0.8465648768921554
Henry,2023-10-31,0.6774223699513464
Henry,2023-11-30,0.7067528204687923
Henry,2023-12-31,0.5575251813786543
Dallas,2022-01-31,0.6455617275474816
Dallas,2022-02-28,0.7110922589709866
Dallas,2022-03-31,0.5849006422577696
Dallas,2022-04-30,0.7375698018345671
Dallas,2022-05-31,0.6399361310081194
Dallas,2022-06-30,0.6708306250206723
Dallas,2022-07-31,0.6398293387770603
Dallas,2022-08-31,0.8852278184508937
Dallas,2022-09-30,0.6986502775262066
Dallas,2022-10-31,0.5942289071044099
Dallas,2022-11-30,0.7822544912103189
Dallas,2022-12-31,0.5779156350028978
Dallas,2023-01-31,0.7208863595004755
Dallas,2023-02-28,0.5040329876120224
Dallas,2023-03-31,0.5671813951101569
Dallas,2023-04-30,0.7196861235869123
Dallas,2023-05-31,0.773846657999541
Dallas,2023-06-30,0.717136828118997
Dallas,2023-07-31,0.6884351717611759
Dallas,2023-08-31,0.6698896304410711
Dallas,2023-09-30,0.5521478009632572
Dallas,2023-10-31,0.6280155791605291
Dallas,2023-11-30,0.6539361229040213
Dallas,2023-12-31,0.8057122226218916
Travis,2022-01-31,0.7343618289568461
Travis,2022-02-28,0.5236959844637266
Travis,2022-03-31,0.7324083969394795
Travis,2022-04-30,0.6614917719583683
Travis,2022-05-31,0.6323077999694041
Travis,2022-06-30,0.7611676288840867
Travis,2022-07-31,0.8030999522495951
Travis,2022-08-31,0.7931280119116199
Travis,2022-09-30,0.6160782476777361
Travis,2022-10-31,0.6690787624148785
Travis,2022-11-30,0.7331263431403563
Travis,2022-12-31,0.7975545127122359
Travis,2023-01-31,0.6520825762154709
Travis,2023-02-28,0.6814341023336182
Travis,2023-03-31,0.5893665025993972
Travis,2023-04-30,0.5803793375919328
Travis,2023-05-31,0.7812525822394197
Travis,2023-06-30,0.8356240028570823
Travis,2023-07-31,0.6927989878419666
Travis,2023-08-31,0.8003532897892024
Travis,2023-09-30,0.7361636025047633
Travis,2023-10-31,0.6354880245394875
Travis,2023-11-30,0.7361395605508414
Travis,2023-12-31,0.8538036566465969
Harris,2022-01-31,0.6964173960890048
Harris,2022-02-28,0.8564643655814006
Harris,2022-03-31,0.4380254895910255
Harris,2022-04-30,0.7821902504375223
Harris,2022-05-31,0.708704706823817
Harris,2022-06-30,0.6700992649534132
Harris,2022-07-31,0.7091760776535502
Harris,2022-08-31,0.5012431085399107
Harris,2022-09-30,0.6780328112162488
Harris,2022-10-31,0.7357112571511746
Harris,2022-11-30,0.8477894044741516
Harris,2022-12-31,0.6481729781726352
Harris,2023-01-31,0.6191506397106812
Harris,2023-02-28,0.6498242956415463
Harris,2023-03-31,0.7915402117702074
Harris,2023-04-30,0.7328751109659684
Harris,2023-05-31,0.647023979623296
Harris,2023-06-30,0.7513267433113355
Harris,2023-07-31,0.709707754934804
Harris,2023-08-31,0.7968644990532889
Harris,2023-09-30,0.6297946906122647
Harris,2023-10-31,0.6672337853402232
Harris,2023-11-30,0.6607891846867842
Harris,2023-12-31,0.5536485051867881
Collin,2022-01-31,0.7296120277064576
Collin,2022-02-28,0.7261055272179889
Collin,2022-03-31,0.700511345664246
Collin,2022-04-30,0.6765412866624853
Collin,2022-05-31,0.5584629257949585
Collin,2022-06-30,0.657935467723464
Collin,2022-07-31,0.665728548347323
Collin,2022-08-31,0.6197722730778381
Collin,2022-09-30,0.683871428833399
Collin,2022-10-31,0.7404050856814538
Collin,2022-11-30,0.888618590121053
Collin,2022-12-31,0.7174577812831838
Collin,2023-01-31,0.7257550390722763
Collin,2023-02-28,0.6925554084233833
Collin,2023-03-31,0.5081228784700957
Collin,2023-04-30,0.6973486124550783
Collin,2023-05-31,0.7060230209941026
Collin,2023-06-30,0.9463242112485286
Collin,2023-07-31,0.6807639035218878
Collin,2023-08-31,0.7301547342333612
Collin,2023-09-30,0.6965288230294756
Collin,2023-10-31,0.5831321962380467
Collin,2023-11-30,0.814282281451502
Collin,2023-12-31,0.7751933032686774
